time,value
9:04:00,70
9:04:05,70
9:04:10,70
9:04:15,70
9:04:20,70
9:04:25,70
9:04:30,66
9:04:40,67
9:04:45,67
9:05:00,68
9:05:05,73
9:05:20,73
9:05:25,72
9:05:40,72
9:05:55,72
9:06:05,67
9:06:15,66
9:06:20,65
9:06:25,67
9:06:35,68
9:06:50,68
9:07:57,69
9:08:02,69
9:08:07,69
9:08:17,68
9:08:27,69
9:08:37,70
9:08:47,72
9:08:52,73
9:08:57,73
9:09:12,73
9:09:17,70
9:09:22,71
9:09:37,71
9:09:47,70
9:09:52,69
9:09:57,72
9:10:02,74
9:10:07,75
9:10:12,73
9:10:17,71
9:10:27,68
9:10:32,67
9:10:47,67
9:10:52,67
9:10:57,67
9:11:04,67
9:11:09,68
9:11:19,69
9:11:34,69
9:11:44,70
9:11:49,68
9:11:54,69
9:12:04,69
9:12:09,70
9:12:14,69
9:12:29,67
9:12:34,67
9:12:44,66
9:12:59,66
9:13:04,64
9:13:19,64
9:13:29,65
9:13:39,66
9:13:49,69
9:13:54,69
9:14:09,69
9:14:24,69
9:15:01,73
9:15:11,71
9:15:21,67
9:15:26,64
9:15:31,63
9:15:36,62
9:15:51,62
9:15:56,63
9:16:11,63
9:16:26,63
9:16:36,64
9:16:46,65
9:16:51,65
9:16:56,62
9:17:01,62
9:17:16,62
9:17:31,63
9:17:36,62
9:17:41,63
9:17:46,63
9:17:56,64
9:18:11,64
9:18:16,64
9:18:21,65
9:18:26,64
9:18:41,64
9:18:43,64
9:18:58,64
9:19:03,64
9:19:18,64
9:19:33,65
9:19:38,61
9:19:43,61
9:19:48,63
9:19:53,62
9:19:58,61
9:20:03,62
9:20:08,62
9:20:13,62
9:20:18,61
9:20:28,62
9:20:33,64
9:20:38,63
9:20:48,62
9:20:53,63
9:20:58,63
9:21:03,62
9:21:08,62
9:21:23,62
9:21:28,63
9:21:33,65
9:21:38,66
9:21:43,65
9:21:49,66
9:21:54,65
9:22:04,64
9:22:19,64
9:22:24,63
9:22:29,63
9:22:44,63
9:22:59,63
9:23:09,62
9:23:19,59
9:23:24,60
9:23:29,61
9:23:34,63
9:23:44,64
9:23:49,65
9:23:59,66
9:24:04,67
9:24:09,71
9:24:24,71
9:24:29,70
9:24:34,66
9:24:44,65
9:24:59,65
9:25:04,67
9:25:19,67
9:25:34,67
9:25:36,65
9:25:41,64
9:25:46,62
9:25:51,63
9:25:56,62
9:26:01,68
9:26:06,71
9:26:21,71
9:26:26,69
9:26:36,68
9:26:41,70
9:26:46,69
9:26:51,69
9:27:06,69
9:27:21,69
9:28:38,64
9:28:43,63
9:28:48,62
9:28:58,63
9:29:03,62
9:29:18,63
9:29:23,65
9:29:28,64
9:29:38,64
9:29:53,64
9:30:08,64
9:30:13,65
9:30:23,67
9:30:28,67
9:30:38,67
9:30:48,68
9:30:53,67
9:30:58,65
9:31:13,65
9:31:18,67
9:31:28,68
9:31:33,69
9:31:38,68
9:31:43,67
9:31:48,67
9:31:58,67
9:32:03,69
9:32:10,69
9:32:15,64
9:32:20,64
9:32:30,65
9:32:45,63
9:32:50,63
9:32:55,64
9:33:10,64
9:33:15,64
9:33:20,63
9:33:25,63
9:33:30,64
9:33:45,64
9:33:50,70
9:33:55,70
9:34:05,69
9:34:15,68
9:34:30,68
9:34:35,64
9:34:40,65
9:34:55,65
9:35:05,64
9:35:20,64
9:35:27,68
9:35:32,66
9:35:42,65
9:35:57,65
9:36:02,66
9:36:17,66
9:36:22,65
9:36:27,66
9:36:32,66
9:36:47,66
9:36:52,65
9:37:07,65
9:37:12,68
9:37:17,65
9:37:22,67
